21,50
69,12354
95,2550
111,10463
115,2363
117,88041
125,1299
126,86359
136,9595
138,7523
142,144
168,7758
188,6248
219,18889
239,9645
271,28801
273,508
277,15897
283,25442
291,33761
293,15235
294,20431
297,14136
302,30508
304,16448
308,27377
320,381
324,784634
329,20846
336,23286
339,22703
346,19284
361,10779
366,17127
384,18818
391,32167
393,1839
415,24367
416,31121
430,19368
433,25129
437,18945
442,24586
443,28858
447,25342
448,13504
461,13233
472,28399
486,32752
519,41216
527,1640
533,30619
537,543
541,21816
566,12793
574,38253
627,39592
633,59860
645,49625
668,39841
673,680
678,1418
687,37684
713,41959
734,36186
744,52485
790,49942
800,49676
827,50599
830,50765
847,59994
853,59786
900,2293
937,58816
955,61764
957,62962
965,54938
981,66038
986,1024
992,48639
997,36928
998,60581
1003,4097
1011,62831
1017,74028
1022,67135
1036,38922
1050,3070
1053,62024
1054,38533
1062,59750
1075,63772
1077,57647
1078,63277
1099,64854
1101,65940
1123,64718
1164,91703
1226,70781
1229,75444
1236,72939
1240,2002745
1243,2742770
1244,70939
1263,73537
1277,87549
1311,90730
1356,89065
1357,81237
1364,81979
1379,85113
1382,924105
1427,110136
1429,92440
1430,87835
1450,98034
1472,81468
1474,88796
1476,88378
1490,1494
1511,108317
1529,93956
1532,101794
1533,93597
1544,2189504
1551,1563
1552,93125
1562,93129
1565,98250
1571,110391
1619,2137515
1622,99319
1665,48817
1677,1718
1698,101428
1710,104742
1717,103153
1758,106951
1776,105096
1790,26712
1797,117174
1812,117400
1817,50554
1830,35660
1832,79274
1838,112397
1851,112531
1852,22769
1868,1937
1872,109971
1882,109983
1886,2037
1888,109670
1906,28356
1907,13367
1932,7082
1950,32011
1965,2108
1966,1992
1971,117609
1984,132670
2002,116167
2004,123125
2007,123300
2008,123371
2009,74824
2012,109728
2046,73031
2060,24940
2068,5240
2074,125319
2076,71182
2077,2435586
2078,125403
2092,108652
2095,126479
2096,126780
2105,81997
2122,128285
2131,128715
2141,129645
2151,24910
2152,128582
2154,116102
2161,95856
2165,41275
2167,130278
2172,24853
2174,130648
2177,29549
2208,132246
2235,134258
2243,134650
2251,135071
2269,679973
2270,41269
2276,136452
2279,134936
2282,134450
2284,140432
2286,138696
2312,138628
2313,114456
2341,137137
2366,7651
2443,140287
2461,5511
2465,146587
2468,19528
2486,715243
2515,87340
2524,143237
2530,154681
2543,150214
2551,154142
2557,150311
2559,149425
2561,147759
2563,3059056
2564,145554
2573,2963996
2585,150234
2586,147598
2595,146786
2598,146888
2617,151704
2618,148962
2619,150709
2626,155712
2637,153890
2642,153637
2664,151349
2671,151846
2677,62089
2689,158070
2691,1923735
2705,158182
2712,3767
2717,2723
2732,9137
2735,157053
2741,2745
2758,5818
2802,134603
2830,28960
2849,31578
2854,109811
2871,173063
2873,170145
2895,2956
2903,165176
2912,165165
2916,169565
2926,167465
2948,164713
2953,174057
2955,2994
2962,171768
3008,60769
3024,173443
3030,3033
3052,6606
3061,53421
3067,67167
3082,173491
3093,173733
3104,175862
3106,174308
3107,176373
3124,177166
3130,193285
3136,80766
3153,180225
3160,73560
3188,186105
3198,3347
3202,178150
3237,92504
3248,119211
3258,183031
3274,177507
3284,21313
3293,185556
3296,190578
3313,47382
3314,41397
3323,115948
3325,200190
3329,196647
3331,30109
3333,20814
3334,186229
3348,170929
3353,191923
3358,188522
3371,192101
3387,197180
3390,92148
3408,92045
3410,49810
3413,22183
3416,125252
3422,190986
3423,182083
3427,47432
3429,180105
3432,192314
3435,861163
3463,193849
3468,125498
3471,177245
3475,92124
3478,78700
3485,135011
3502,193899
3544,194947
3550,134717
3562,202439
3577,3688
3580,197578
3586,8932
3587,3729
3592,198582
3599,200710
3600,53304
3605,20070
3610,2864167
3617,20407
3632,115431
3640,199323
3641,204867
3644,3670
3648,206140
3649,3674
3666,3713
3678,133141
3727,202671
3747,24459
3749,3760
3775,204381
3800,204738
3814,205147
3835,68435
3843,2805448
3854,213317
3856,190299
3861,3881
3862,78890
3868,119559
3870,127309
3883,211641
3897,3948
3907,108624
3909,184257
3932,216501
3939,205824
3942,192197
3958,127261
3964,214721
3968,73266
3975,215803
3976,211656
3983,194301
3991,82563
4008,2815994
4014,214320
4041,214411
4051,221379
4063,39655
4064,217180
4077,45023
4079,39863
4085,64155
4092,59642
4102,198699
4118,7231
4129,222859
4130,4794
4132,35516
4143,213432
4145,67855
4146,185028
4170,62851
4180,108462
4182,58540
4204,186726
4207,4707
4227,226163
4236,118116
4273,3044790
4277,28151
4278,50941
4287,230884
4306,228951
4310,10149
4331,206674
4342,229240
4367,157766
4380,169045
4387,41513
4391,236006
4404,237587
4407,232754
4409,230651
4413,232862
4414,230970
4425,232582
4432,233558
4435,236959
4451,50506
4460,235654
4464,73976
4472,241076
4474,235301
4482,250434
4491,232180
4541,98138
4557,246715
4558,239511
4562,12934
4578,111630
4586,240481
4588,4830
4589,4814
4600,4815
4604,66493
4617,217049
4625,5888
4626,241822
4653,96994
4655,221637
4661,92141
4664,240613
4674,241380
4681,4732
4691,23235
4694,246653
4696,58535
4713,40114
4716,38087
4725,4804
4733,2288370
4745,188689
4756,250148
4757,250959
4763,1992055
4771,4861
4792,5318
4859,92869
4866,36494
4875,258553
4915,157060
4960,169834
4966,85820
4968,192857
4980,252666
4991,253442
4992,254709
5012,254458
5023,51306
5030,254319
5032,38245
5068,250895
5080,252574
5124,258522
5145,1995159
5198,193132
5224,259311
5241,146442
5248,267091
5249,263287
5252,263289
5256,261881
5258,5380
5264,130736
5279,30246
5280,16502
5298,262720
5315,5339
5316,5387
5320,192592
5341,264660
5378,262626
5413,267457
5414,2608378
5441,158140
5447,202238
5449,102754
5453,268759
5461,5462
5476,268177
5482,91340
5491,226219
5499,147069
5509,269303
5512,19693
5550,182759
5622,99314
5638,2222997
5643,104007
5679,276011
5684,280112
5700,5718
5729,216720
5748,23475
5755,96206
5770,156850
5802,155273
5805,279610
5809,275570
5822,64773
5829,203971
5836,276895
5857,5877
5883,59540
5895,56107
5901,278550
5912,280892
5916,47057
5939,254090
5945,38031
5956,5957
5961,16169
5977,278500
5981,281392
5999,289097
6007,281638
6008,69300
6013,156100
6017,65546
6028,111628
6042,286847
6046,762162
6047,287448
6058,285017
6067,284174
6073,172468
6081,286264
6087,48076
6092,284132
6139,286686
6147,288356
6168,287731
6169,201155
6179,287203
6184,287983
6188,287816
6195,290988
6217,289316
6227,289083
6230,294919
6234,245632
6240,290344
6244,292717
6253,176466
6255,23015
6261,2014915
6284,2936321
6360,170776
6375,293455
6378,47676
6409,65102
6425,294243
6435,293872
6459,296793
6478,296221
6486,206566
6487,7741
6505,258143
6526,54709
6527,103260
6528,296932
6560,168984
6575,40563
6584,35375
6604,221520
6625,310801
6678,240846
6684,73694
6686,7768
6691,306364
6703,88979
6706,302948
6724,304478
6726,58349
6730,6775
6736,70465
6739,305274
6741,305734
6743,308487
6766,6804
6784,302555
6799,302389
6802,306500
6826,138862
6832,305253
6835,312731
6845,306066
6847,309243
6894,311323
6900,150050
6910,89575
6915,312669
6916,312103
6923,3052429
6926,120410
6929,309820
6934,33656
6940,282527
6954,314445
6959,135224
6963,312329
6990,313812
6999,194023
7009,313405
7011,217389
7017,118480
7020,313414
7053,98676
7067,110087
7094,317602
7102,52900
7106,319598
7113,257665
7133,316451
7134,320755
7143,236600
7151,7184
7164,319024
7188,110412
7194,67181
7195,11593
7206,319637
7233,321173
7238,255078
7244,7257
7259,110714
7260,168414
7281,156846
7287,271833
7291,7532
7293,11529
7347,327673
7349,274170
7353,334001
